production_companies_nombres,budget_per_company,revenue_per_company,return_per_company,count_movies
downtown filmes,9681783.982906979,30265239.6,8.99445950358101,6
downtown pictures,2816385.8756497954,7472898.666666667,1.7689098383823119,2
doxa producciones,4224578.813474693,11209348.0,2.653364757573468,1
dozen canada productions,20000000.0,43060610.0,0.7176768333333333,1
dp films,1858192.9378248977,9341123.333333334,7.111870774338538,2
dpi,2112289.4067373467,5604674.0,1.326682378786734,1
dpplr,4224578.813474693,11209348.0,2.653364757573468,1
dr d studios,32500000.0,37601616.5,0.2892432038461539,1
dr tv,3362289.4067373467,11209348.0,3.5685520866397913,2
dr2 productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
draco films,500000.0,2802337.0,1.401168567408161,1
dracula productions inc.,532003.3333333334,3736449.3333333335,2.341119111464483,1
drafthouse films,25479267.646391936,68456975.66666667,17.905369006113894,11
drag city,4224578.813474693,11209348.0,2.653364757573468,1
dragon cine venture image entertainment,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dragon pictures,12251278.559076611,32507109.200000003,7.6947577969630565,8
dragon studios,3880000.0,2241869.6,0.11556029421922978,2
dragonfly entertainment,1916666.6666666667,5225973.333333333,2.097285300741494,3
dragonfly pictures,2816385.8756497954,7472898.666666667,1.7689098383823119,2
dragonsteel films,2112289.4067373467,5604674.0,1.326682378786734,1
drakfilm,844915.7626949387,2241869.6,0.5306729515146935,1
drakfilm produktion,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
drama deluxe,400000.0,5604674.0,7.005842837040805,1
drama free zone,2112289.4067373467,5604674.0,1.326682378786734,1
drama republic,2112289.4067373467,5604674.0,1.326682378786734,1
drama svecia,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dramatic features,6666666.666666667,7472898.666666667,0.7472899026176858,2
dramatiska institutet,2112289.4067373467,5604674.0,1.326682378786734,2
draw and shoot flims,4224578.813474693,11209348.0,2.653364757573468,2
drax audio,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dread central media,2112289.4067373467,5604674.0,1.326682378786734,1
dream author,2816385.8756497954,7472898.666666667,1.7689098383823119,2
dream cinema,8449157.626949387,22418696.0,5.306729515146936,2
dream company,12673736.44042408,33628044.0,7.960094272720403,4
dream entertainment,9442490.96028272,26155145.333333336,6.560571633632986,3
dream factory group,12000000.0,1884109.2,0.031401820000000004,1
dream factory macedonia,370000.0,2241869.6,1.2118214637043554,2
dream guy productions,4224578.813474693,11209348.0,2.653364757573468,1
dream man productions inc,2112289.4067373467,5604674.0,1.326682378786734,1
dream quest images,2112289.4067373467,5604674.0,1.326682378786734,1
dream rock,1666666.6666666667,3736449.3333333335,0.7472899026176858,1
dream team concept,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dream team productions,4450000.0,5604674.0,0.629738681981196,1
dream venture capital,4928675.282387142,13077572.666666668,3.0955922171690458,4
dreamachine,3067137.9849171606,2686438.6,0.5529014015146936,3
dreamagine entertainment,875000.0,1401168.5,0.20016693820116585,1
dreambridge films,6011312.023726305,13215227.711904762,3.0238729500487977,6
dreamer joint venture filmproduction,3872530.579018469,10275235.666666668,2.4322510277756786,3
dreamfly productions,1056144.7033686733,2802337.0,0.663341189393367,1
dreamher productions,1056144.7033686733,2802337.0,0.663341189393367,1
dreaming tree productions,4224578.813474693,11209348.0,2.653364757573468,1
dreamlab,8449157.626949387,22418696.0,5.306729515146936,2
dreamlab films,533333.3333333334,7472898.666666667,9.341123782721073,2
dreamland,4224578.813474693,11209348.0,2.653364757573468,1
dreamland productions,4224578.813474693,6000000.0,1.4202599276553756,1
dreamland studios,4224578.813474693,11209348.0,2.653364757573468,1
dreamlogic films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dreampixies,4224578.813474693,11209348.0,2.653364757573468,1
dreams n beyond,4224578.813474693,11209348.0,2.653364757573468,1
dreams of dragon picture,12750000.0,16310358.5,0.15990547549019607,1
dreamsound (koprodukcja),1408192.9378248977,3736449.3333333335,0.8844549191911559,2
dreamworks,246202380.95238096,417464884.29761904,12.63316612482101,9
dreamworks animation,3125965428.1062584,10714389336.75,120.33788432693973,54
dreamworks home entertainment,5632771.751299591,14945797.333333334,3.5378196767646237,2
dreamworks pictures,199350000.0,311456584.28333336,6.234880098964815,15
dreamworks skg,1897510916.2220833,5356856248.8637085,114.68351021024789,115
dreamworks studios,6285714.285714285,25394520.285714287,1.1542963766233767,2
dreamworks television,40000000.0,3736449.3333333335,0.031137079275736914,1
dreamz,2112289.4067373467,5604674.0,1.326682378786734,1
dreamz unlimited,12673736.44042408,49209348.0,11.648344299390844,4
drew associates,8449157.626949387,22418696.0,5.306729515146936,3
drexel productions,4224578.813474693,11209348.0,2.653364757573468,1
dribble productions,1933333.3333333333,2333333.3333333335,0.40229885057471265,1
dribbling pictures,4224578.813474693,11209348.0,2.653364757573468,1
drife productions,1056144.7033686733,2802337.0,0.663341189393367,1
drimtim entertainment,4224578.813474693,11209348.0,2.653364757573468,1
drishyam films,11265543.502599182,29891594.666666668,7.075639353529247,4
dro entertainment,875000.0,1401168.5,0.20016693820116585,1
drop of water productions,2112289.4067373467,5604674.0,1.326682378786734,1
dropdrop studios,1056144.7033686733,2802337.0,0.663341189393367,1
drotcroft limited,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
drugaya kul'tura (dk) produkt,8449157.626949387,22418696.0,5.306729515146936,2
drum pty. ltd,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
drunken angel entertainment,153846.15384615384,862257.5384615385,0.43112878997174187,2
dry county films,11969639.97151163,31759819.333333332,7.517866813124826,4
dschoint ventschr,2112289.4067373467,5604674.0,1.326682378786734,2
dschoint ventschr filmproduktion ag,11969639.97151163,31759819.333333336,7.517866813124826,4
dsm iii,2112289.4067373467,5604674.0,1.326682378786734,1
dtvr dogan tv radyo,844915.7626949387,2241869.6,0.5306729515146935,1
du maurier-guinness,2112289.4067373467,5604674.0,1.326682378786734,1
dual power productions,4224578.813474693,11209348.0,2.653364757573468,1
dualstar entertainment group,2112289.4067373467,5604674.0,1.326682378786734,1
dualstar productions,11969639.97151163,31759819.333333336,7.517866813124825,6
duart,2816385.8756497954,7472898.666666667,1.7689098383823119,2
dub,3872530.5790184685,10275235.666666668,2.4322510277756786,4
dubai entertainment and media organization,2112289.4067373467,673873.5,0.15951258805981244,2
dubai media and entertainment organisation in association with dubai film market (enjaaz),4224578.813474693,11209348.0,2.653364757573468,2
dublab media,528072.3516843367,1401168.5,0.3316705946966835,1
duck attack films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
duck farm films,4224578.813474693,11209348.0,2.653364757573468,1
duckling a/s,660000.0,6053047.92,7.0748234434362836,2
duckster productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
duddy kravitz syndicate,704096.4689124489,1868224.6666666667,0.44222745959557797,1
dude productions,2112289.4067373467,5604674.0,1.326682378786734,1
dudez productions,4224578.813474693,11209348.0,2.653364757573468,1
dudley pictures corporation,6336868.2202120405,16814022.0,3.9800471363602017,2
due emme cinematografica,1056144.7033686733,2802337.0,0.663341189393367,1
due west,5222222.222222222,799044.3333333334,0.017000943262411347,1
duea film,9505302.33031806,25221033.0,5.970070704540302,4
duel film partners,2816385.8756497954,7472898.666666667,1.7689098383823119,2
dueto filmes,2816385.8756497954,7472898.666666667,1.7689098383823119,2
dufferin gate productions,2112289.4067373467,5604674.0,1.326682378786734,1
dugong films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
