collection_name,id_list,title_list,return_sum,return_mean
a nightmare on elm street collection,"[11596, 377, 10014, 10072, 10131, 10160, 11284, 23437]","['new nightmare', 'a nightmare on elm street', ""a nightmare on elm street part 2: freddy's revenge"", 'a nightmare on elm street 3: dream warriors', 'a nightmare on elm street 4: the dream master', 'a nightmare on elm street 5: the dream child', ""freddy's dead: the final nightmare"", 'a nightmare on elm street']",54.022771063023086,6.752846382877886
aashiqui collection,"[192558, 192558]","['aashiqui 2', 'aashiqui 2']",24.615384615384617,12.307692307692308
abcd collection,"[157293, 157293]","['abcd (any body can dance)', 'abcd (any body can dance)']",5.306729515146936,2.653364757573468
ace ventura collection,"[9273, 3049, 15338]","['ace ventura: when nature calls', 'ace ventura: pet detective', 'ace ventura jr: pet detective']",15.721923971902038,5.240641323967346
aces go places collection,"[2648, 2648]","['aces go places v: the terracotta hit', 'aces go places v: the terracotta hit']",5.306729515146936,2.653364757573468
action pack bandit films collection,[81996],"[""bandit's silver angel""]",2.653364757573468,2.653364757573468
ada apa dengan cinta? collection,[39060],"[""what's up with love?""]",2.653364757573468,2.653364757573468
addams family collection,"[2758, 2907, 11508]","['addams family values', 'the addams family', 'addams family reunion']",20.61640503626517,6.87213501208839
adventures of a ...,[86190],['adventures of a taxi driver'],2.653364757573468,2.653364757573468
adventures of mowgli,"[59803, 195065, 59803, 195065]","['adventures of mowgli', 'adventures of mowgli: the kidnapping', 'adventures of mowgli', 'adventures of mowgli: the kidnapping']",10.613459030293871,2.653364757573468
afro samurai collection,"[14711, 62931]","['afro samurai: resurrection', 'afro samurai']",5.306729515146936,2.653364757573468
agent cody banks collection,"[10923, 17047]","['agent cody banks', 'agent cody banks 2: destination london']",3.2082733846153846,1.6041366923076923
air bud collection,"[20737, 21661, 21518, 24794, 20755]","['air bud', 'air bud: golden receiver', 'air bud: seventh inning fetch', 'air bud: spikes back', 'air bud 3: world pup']",17.683582598083355,3.5367165196166708
airplane collection,"[813, 2665]","['airplane!', 'airplane ii: the sequel']",30.270670861488423,15.135335430744211
airport collection,"[10671, 27932, 7227, 29723]","['airport', 'airport 1975', ""airport '77"", ""the concorde... airport '79""]",31.645273766666666,7.911318441666666
aki kaurismäki's finland trilogy,"[7294, 8214, 1379, 1379]","['the man without a past', 'drifting clouds', 'lights in the dusk', 'lights in the dusk']",7.647335312248385,1.9118338280620963
aladdin collection,"[812, 11238, 15969]","['aladdin', 'aladdin and the king of thieves', 'the return of jafar']",23.30852305086122,7.7695076836204064
